id,focus,signal,slack,drag,confidence,score,lane
l001,nonce pressure,35,33,6,25,226,ship
l002,settlement risk,35,34,6,55,288,ship
l003,proof depth,35,35,6,85,350,ship
l004,event finality,35,36,18,25,172,ship
l005,nonce pressure,35,37,18,55,234,ship
l006,settlement risk,35,38,18,85,296,ship
l007,proof depth,35,39,34,25,98,hold
l008,event finality,35,40,34,55,160,watch
l009,nonce pressure,35,41,34,85,222,ship
l010,settlement risk,60,42,6,25,344,ship
l011,proof depth,60,43,6,55,406,ship
l012,event finality,60,44,6,85,468,ship
l013,nonce pressure,60,45,18,25,290,ship
l014,settlement risk,60,46,18,55,352,ship
l015,proof depth,60,47,18,85,414,ship
l016,event finality,60,48,34,25,216,ship
l017,nonce pressure,60,32,34,55,244,ship
l018,settlement risk,60,33,34,85,306,ship
l019,proof depth,85,34,6,25,428,ship
l020,event finality,85,35,6,55,490,ship
l021,nonce pressure,85,36,6,85,552,ship
l022,settlement risk,85,37,18,25,374,ship
l023,proof depth,85,38,18,55,436,ship
l024,event finality,85,39,18,85,498,ship
l025,nonce pressure,85,40,34,25,300,ship
l026,settlement risk,85,41,34,55,362,ship
l027,proof depth,85,42,34,85,424,ship
